Isolate,Encapsulation,Resistance
6972_4#19,Encapsulated,Non-susceptible
6823_4#18,Encapsulated,Non-susceptible
6630_3#20,Encapsulated,Susceptible
6680_4#17,Encapsulated,Susceptible
6731_6#17,Encapsulated,Susceptible
6805_4#11,Encapsulated,Susceptible
6753_3#7,Unencapsulated,Non-susceptible
6753_2#19,Unencapsulated,Susceptible
6830_3#3,Encapsulated,Susceptible
6949_3#1,Encapsulated,Susceptible
6630_4#1,Encapsulated,Susceptible
6840_1#13,Encapsulated,Non-susceptible
6755_1#13,Encapsulated,Susceptible
6925_4#11,Encapsulated,Susceptible
7092_6#16,Unencapsulated,Non-susceptible
6731_1#3,Encapsulated,Susceptible
6710_8#18,Encapsulated,Susceptible
6899_7#10,Unencapsulated,Non-susceptible
6631_2#8,Unencapsulated,Non-susceptible
7068_4#10,Unencapsulated,Non-susceptible
7038_6#3,Encapsulated,Non-susceptible
6730_6#11,Encapsulated,Non-susceptible
6259_6#9,Unencapsulated,Non-susceptible
7004_7#52,Encapsulated,Susceptible
6949_2#24,Encapsulated,Non-susceptible
7054_5#8,Unencapsulated,Susceptible
6714_7#20,Encapsulated,Susceptible
6983_4#94,Encapsulated,Susceptible
6823_1#20,Encapsulated,Non-susceptible
6259_7#22,Encapsulated,Susceptible
6631_6#5,Unencapsulated,Non-susceptible
6807_1#24,Encapsulated,Susceptible
7068_4#14,Encapsulated,Susceptible
6664_1#10,Encapsulated,Non-susceptible
7068_4#3,Encapsulated,Non-susceptible
6730_3#2,Unencapsulated,Non-susceptible
6730_7#6,Encapsulated,Susceptible
6983_8#85,Encapsulated,Susceptible
6823_3#7,Encapsulated,Non-susceptible
6736_6#15,Encapsulated,Susceptible
6949_4#7,Encapsulated,Susceptible
6731_2#3,Encapsulated,Susceptible
6899_6#3,Encapsulated,Non-susceptible
7038_4#9,Encapsulated,Susceptible
6823_6#18,Encapsulated,Susceptible
6730_1#10,Unencapsulated,Non-susceptible
6983_6#48,Encapsulated,Susceptible
6925_7#16,Encapsulated,Susceptible
6925_7#15,Encapsulated,Non-susceptible
6899_5#10,Encapsulated,Non-susceptible
6775_1#2,Encapsulated,Non-susceptible
6775_1#12,Encapsulated,Non-susceptible
6805_7#14,Encapsulated,Non-susceptible
7038_8#38,Encapsulated,Susceptible
6983_3#56,Encapsulated,Susceptible
6807_2#17,Encapsulated,Non-susceptible
7038_5#20,Encapsulated,Susceptible
7092_6#9,Encapsulated,Susceptible
6714_8#2,Encapsulated,Susceptible
6736_8#13,Encapsulated,Susceptible
7011_6#16,Unencapsulated,Non-susceptible
6972_4#10,Unencapsulated,Non-susceptible
6938_8#1,Encapsulated,Susceptible
6775_1#22,Encapsulated,Non-susceptible
6805_7#22,Encapsulated,Susceptible
6972_3#21,Encapsulated,Susceptible
7011_4#6,Encapsulated,Susceptible
6710_7#14,Encapsulated,Susceptible
7038_4#16,Unencapsulated,Non-susceptible
6755_5#23,Encapsulated,Susceptible
6753_3#12,Encapsulated,Susceptible
6730_3#24,Unencapsulated,Non-susceptible
6805_7#3,Encapsulated,Susceptible
6631_7#19,Encapsulated,Unknown
6730_1#8,Encapsulated,Susceptible
6736_4#9,Encapsulated,Susceptible
6805_4#1,Unencapsulated,Non-susceptible
6730_6#18,Encapsulated,Susceptible
7004_6#47,Encapsulated,Susceptible
6807_3#22,Encapsulated,Non-susceptible
6731_2#8,Encapsulated,Susceptible
6731_3#22,Encapsulated,Non-susceptible
6631_2#15,Encapsulated,Susceptible
6899_6#5,Encapsulated,Non-susceptible
6736_7#8,Encapsulated,Susceptible
6925_7#2,Unencapsulated,Non-susceptible
6823_3#6,Encapsulated,Non-susceptible
6983_8#93,Encapsulated,Susceptible
6949_1#9,Encapsulated,Susceptible
6730_8#19,Encapsulated,Non-susceptible
6630_1#16,Encapsulated,Non-susceptible
6730_1#21,Unencapsulated,Non-susceptible
6736_4#13,Encapsulated,Susceptible
6730_6#22,Unencapsulated,Non-susceptible
6807_1#21,Encapsulated,Susceptible
6731_6#24,Encapsulated,Susceptible
7011_4#7,Encapsulated,Non-susceptible
6938_3#26,Encapsulated,Susceptible
7038_5#8,Encapsulated,Susceptible
6925_6#23,Encapsulated,Susceptible
6938_5#16,Encapsulated,Non-susceptible
6673_8#18,Encapsulated,Susceptible
6983_6#34,Encapsulated,Non-susceptible
6714_8#14,Encapsulated,Susceptible
6680_8#9,Encapsulated,Susceptible
6730_5#3,Encapsulated,Susceptible
6840_1#18,Encapsulated,Susceptible
6731_4#22,Encapsulated,Non-susceptible
6938_3#32,Encapsulated,Susceptible
6730_3#15,Encapsulated,Non-susceptible
6731_4#10,Encapsulated,Susceptible
6736_5#10,Encapsulated,Non-susceptible
6841_7#5,Encapsulated,Non-susceptible
6259_7#20,Encapsulated,Susceptible
6710_6#17,Encapsulated,Susceptible
6775_1#20,Encapsulated,Non-susceptible
6983_5#18,Unencapsulated,Non-susceptible
6631_7#15,Encapsulated,Unknown
6714_8#6,Encapsulated,Susceptible
6710_6#3,Encapsulated,Susceptible
6259_6#16,Unencapsulated,Non-susceptible
6731_6#8,Encapsulated,Susceptible
6631_4#3,Encapsulated,Non-susceptible
6840_3#17,Encapsulated,Susceptible
6753_3#1,Encapsulated,Non-susceptible
6805_6#2,Encapsulated,Susceptible
6730_4#1,Encapsulated,Non-susceptible
6840_1#17,Encapsulated,Susceptible
6753_1#1,Unencapsulated,Susceptible
6680_6#4,Encapsulated,Susceptible
6938_5#3,Encapsulated,Susceptible
6730_8#20,Encapsulated,Non-susceptible
6823_1#13,Encapsulated,Susceptible
6805_4#8,Encapsulated,Non-susceptible
7054_4#16,Encapsulated,Susceptible
6823_4#3,Encapsulated,Susceptible
6714_8#8,Encapsulated,Susceptible
6731_5#2,Encapsulated,Susceptible
6710_7#10,Unencapsulated,Non-susceptible
7038_8#32,Encapsulated,Non-susceptible
6649_7#23,Unencapsulated,Non-susceptible
6841_7#22,Encapsulated,Susceptible
6805_7#13,Encapsulated,Susceptible
6730_5#8,Encapsulated,Susceptible
7092_6#2,Encapsulated,Susceptible
6983_3#68,Encapsulated,Susceptible
6730_3#12,Unencapsulated,Non-susceptible
6972_5#17,Encapsulated,Susceptible
6259_8#11,Encapsulated,Susceptible
6805_7#1,Encapsulated,Susceptible
6823_3#22,Encapsulated,Non-susceptible
6840_3#2,Encapsulated,Non-susceptible
6840_1#21,Encapsulated,Susceptible
6593_5#22,Encapsulated,Susceptible
6983_4#91,Encapsulated,Susceptible
6631_4#4,Encapsulated,Susceptible
6938_7#20,Encapsulated,Susceptible
6736_6#16,Encapsulated,Non-susceptible
6753_4#22,Encapsulated,Non-susceptible
6755_2#16,Encapsulated,Susceptible
6823_2#22,Encapsulated,Susceptible
7004_5#20,Encapsulated,Susceptible
7004_5#24,Encapsulated,Susceptible
6649_7#18,Encapsulated,Susceptible
6972_2#4,Unencapsulated,Susceptible
6949_2#19,Encapsulated,Susceptible
6899_6#20,Encapsulated,Susceptible
6649_7#11,Unencapsulated,Non-susceptible
7004_6#38,Encapsulated,Non-susceptible
6925_6#7,Unencapsulated,Non-susceptible
6753_4#14,Encapsulated,Non-susceptible
6983_2#3,Encapsulated,Susceptible
6259_7#21,Encapsulated,Susceptible
6938_7#4,Unencapsulated,Non-susceptible
6631_3#11,Unencapsulated,Non-susceptible
6664_1#11,Encapsulated,Susceptible
6925_6#21,Encapsulated,Susceptible
6593_5#20,Encapsulated,Susceptible
7038_4#23,Encapsulated,Non-susceptible
6925_6#16,Encapsulated,Susceptible
7038_6#18,Encapsulated,Susceptible
6714_7#16,Encapsulated,Non-susceptible
6731_4#6,Encapsulated,Susceptible
6593_4#4,Unencapsulated,Non-susceptible
7004_7#63,Encapsulated,Susceptible
6840_3#8,Encapsulated,Non-susceptible
6823_1#12,Encapsulated,Susceptible
6823_5#8,Encapsulated,Non-susceptible
7011_5#19,Encapsulated,Susceptible
7004_8#74,Encapsulated,Susceptible
7092_6#10,Encapsulated,Non-susceptible
6972_5#9,Encapsulated,Susceptible
6949_3#8,Encapsulated,Susceptible
6938_7#17,Encapsulated,Non-susceptible
6730_7#14,Encapsulated,Non-susceptible
6871_1#2,Unencapsulated,Non-susceptible
6972_3#9,Encapsulated,Susceptible
6259_7#15,Encapsulated,Susceptible
6899_7#24,Unencapsulated,Non-susceptible
6649_8#3,Encapsulated,Non-susceptible
6807_2#13,Encapsulated,Susceptible
6938_5#22,Encapsulated,Susceptible
6841_7#2,Unencapsulated,Susceptible
6938_7#23,Encapsulated,Non-susceptible
7068_4#17,Encapsulated,Susceptible
6755_3#24,Encapsulated,Non-susceptible
6730_7#18,Encapsulated,Non-susceptible
6736_6#2,Encapsulated,Non-susceptible
6755_5#19,Encapsulated,Susceptible
6630_4#13,Unencapsulated,Non-susceptible
6925_5#12,Encapsulated,Non-susceptible
6731_3#4,Encapsulated,Susceptible
6731_6#4,Encapsulated,Susceptible
7004_7#59,Unencapsulated,Non-susceptible
6714_7#21,Unencapsulated,Non-susceptible
6731_4#19,Encapsulated,Non-susceptible
7054_4#14,Encapsulated,Non-susceptible
6983_8#79,Encapsulated,Susceptible
7004_7#68,Encapsulated,Susceptible
6899_4#23,Encapsulated,Susceptible
6649_8#12,Encapsulated,Susceptible
6736_5#19,Encapsulated,Susceptible
6807_1#3,Encapsulated,Susceptible
6731_5#18,Encapsulated,Susceptible
6983_5#10,Encapsulated,Susceptible
6938_5#8,Encapsulated,Susceptible
7092_6#18,Encapsulated,Susceptible
7038_7#18,Unencapsulated,Non-susceptible
6972_5#24,Encapsulated,Susceptible
6714_8#19,Unencapsulated,Susceptible
6823_1#16,Encapsulated,Non-susceptible
6259_5#24,Unencapsulated,Non-susceptible
6925_8#16,Unencapsulated,Susceptible
6983_5#4,Unencapsulated,Non-susceptible
6938_8#24,Encapsulated,Susceptible
6775_2#9,Encapsulated,Susceptible
6731_3#15,Encapsulated,Susceptible
6899_7#3,Encapsulated,Non-susceptible
6983_4#75,Unencapsulated,Non-susceptible
7054_5#2,Encapsulated,Susceptible
6731_5#10,Encapsulated,Susceptible
6730_5#6,Encapsulated,Susceptible
6899_4#2,Encapsulated,Susceptible
6753_2#22,Unencapsulated,Non-susceptible
7068_4#23,Encapsulated,Susceptible
6753_4#19,Unencapsulated,Non-susceptible
7004_6#28,Encapsulated,Susceptible
6631_4#11,Encapsulated,Susceptible
6753_3#9,Encapsulated,Susceptible
6983_7#49,Encapsulated,Susceptible
7054_5#12,Unencapsulated,Susceptible
7092_6#14,Encapsulated,Susceptible
6630_3#15,Encapsulated,Susceptible
6680_6#7,Unencapsulated,Non-susceptible
6823_5#12,Encapsulated,Non-susceptible
6925_3#15,Encapsulated,Non-susceptible
6807_3#23,Encapsulated,Susceptible
6805_5#6,Unencapsulated,Non-susceptible
6731_5#11,Encapsulated,Susceptible
6983_7#59,Encapsulated,Non-susceptible
7038_5#10,Encapsulated,Susceptible
6714_8#24,Encapsulated,Non-susceptible
7038_5#21,Unencapsulated,Non-susceptible
6925_6#17,Encapsulated,Susceptible
7054_6#1,Encapsulated,Susceptible
6949_2#2,Encapsulated,Susceptible
6755_5#21,Encapsulated,Susceptible
6730_1#15,Encapsulated,Non-susceptible
6775_2#3,Encapsulated,Non-susceptible
6631_5#17,Encapsulated,Susceptible
6755_6#12,Encapsulated,Susceptible
6775_1#18,Encapsulated,Susceptible
6630_3#8,Encapsulated,Non-susceptible
6259_5#3,Unencapsulated,Non-susceptible
6736_7#24,Encapsulated,Non-susceptible
6630_4#15,Encapsulated,Non-susceptible
6805_7#20,Encapsulated,Susceptible
6823_7#4,Encapsulated,Susceptible
6823_7#18,Encapsulated,Non-susceptible
6983_2#5,Encapsulated,Susceptible
6805_4#24,Encapsulated,Non-susceptible
6823_7#2,Encapsulated,Non-susceptible
7004_6#30,Unencapsulated,Non-susceptible
6983_4#78,Encapsulated,Susceptible
6730_4#5,Unencapsulated,Non-susceptible
6805_6#19,Encapsulated,Non-susceptible
6730_8#7,Encapsulated,Susceptible
6823_3#14,Encapsulated,Non-susceptible
6938_6#9,Encapsulated,Susceptible
6680_8#10,Unencapsulated,Non-susceptible
6983_5#5,Encapsulated,Non-susceptible
6972_2#1,Encapsulated,Susceptible
6938_3#24,Unencapsulated,Non-susceptible
6823_6#2,Encapsulated,Susceptible
7038_5#23,Encapsulated,Non-susceptible
7038_5#18,Encapsulated,Susceptible
6899_6#11,Encapsulated,Susceptible
6775_2#14,Encapsulated,Non-susceptible
6641_6#2,Encapsulated,Susceptible
6736_8#12,Encapsulated,Susceptible
6841_7#12,Unencapsulated,Non-susceptible
6736_8#17,Encapsulated,Susceptible
7038_5#11,Encapsulated,Susceptible
6730_5#24,Encapsulated,Non-susceptible
6731_6#6,Encapsulated,Susceptible
6649_7#21,Encapsulated,Non-susceptible
6649_7#10,Encapsulated,Susceptible
6730_3#22,Encapsulated,Non-susceptible
6983_4#84,Unencapsulated,Non-susceptible
6673_8#13,Encapsulated,Non-susceptible
6710_8#5,Unencapsulated,Non-susceptible
6823_6#14,Encapsulated,Non-susceptible
6730_4#3,Encapsulated,Susceptible
6823_6#11,Encapsulated,Susceptible
6805_6#15,Encapsulated,Susceptible
7038_4#19,Unencapsulated,Non-susceptible
7004_7#66,Encapsulated,Non-susceptible
6805_5#8,Encapsulated,Susceptible
6823_1#7,Unencapsulated,Non-susceptible
6805_3#12,Unencapsulated,Non-susceptible
6730_8#23,Encapsulated,Non-susceptible
6736_6#4,Unencapsulated,Non-susceptible
6731_5#23,Encapsulated,Susceptible
6753_3#2,Encapsulated,Susceptible
6871_2#5,Encapsulated,Non-susceptible
7004_8#86,Encapsulated,Non-susceptible
6755_4#1,Encapsulated,Susceptible
7038_6#23,Encapsulated,Susceptible
6631_4#9,Unencapsulated,Non-susceptible
6730_1#16,Encapsulated,Susceptible
6983_7#71,Encapsulated,Non-susceptible
6631_7#17,Encapsulated,Unknown
6680_8#21,Unencapsulated,Non-susceptible
6755_1#20,Encapsulated,Non-susceptible
6805_3#17,Encapsulated,Susceptible
7004_5#22,Encapsulated,Susceptible
6899_7#15,Encapsulated,Non-susceptible
6925_8#19,Encapsulated,Susceptible
7068_4#15,Encapsulated,Susceptible
6938_3#23,Encapsulated,Non-susceptible
6983_3#63,Encapsulated,Non-susceptible
6949_1#21,Encapsulated,Susceptible
6983_3#53,Encapsulated,Susceptible
6631_3#21,Encapsulated,Susceptible
6949_3#23,Encapsulated,Non-susceptible
6983_3#59,Encapsulated,Susceptible
6631_3#20,Encapsulated,Susceptible
6983_4#96,Encapsulated,Susceptible
6949_3#12,Encapsulated,Non-susceptible
7038_7#5,Encapsulated,Susceptible
6775_2#7,Encapsulated,Susceptible
6983_8#81,Encapsulated,Non-susceptible
6730_6#20,Encapsulated,Susceptible
6710_6#13,Encapsulated,Non-susceptible
6710_8#19,Encapsulated,Susceptible
6753_1#3,Encapsulated,Non-susceptible
6736_4#10,Encapsulated,Susceptible
6736_4#18,Encapsulated,Non-susceptible
6680_8#17,Unencapsulated,Non-susceptible
6593_4#3,Unencapsulated,Non-susceptible
6823_7#12,Encapsulated,Non-susceptible
7092_6#8,Encapsulated,Non-susceptible
6730_7#5,Encapsulated,Susceptible
6631_7#12,Encapsulated,Non-susceptible
6899_5#24,Encapsulated,Non-susceptible
6630_1#17,Encapsulated,Non-susceptible
6823_4#13,Encapsulated,Susceptible
6630_4#23,Unencapsulated,Non-susceptible
6631_4#20,Encapsulated,Susceptible
6710_7#24,Encapsulated,Non-susceptible
6823_5#17,Encapsulated,Susceptible
6983_8#73,Encapsulated,Susceptible
7038_6#19,Encapsulated,Non-susceptible
6680_5#16,Encapsulated,Susceptible
6899_5#1,Encapsulated,Non-susceptible
6731_4#5,Encapsulated,Non-susceptible
6649_7#12,Encapsulated,Non-susceptible
6731_6#18,Encapsulated,Susceptible
7038_7#22,Encapsulated,Susceptible
7011_3#14,Encapsulated,Susceptible
7054_4#21,Encapsulated,Non-susceptible
6823_1#19,Encapsulated,Susceptible
6730_8#22,Encapsulated,Non-susceptible
6630_3#17,Unencapsulated,Non-susceptible
6755_5#22,Encapsulated,Susceptible
6630_3#1,Encapsulated,Susceptible
6949_1#23,Encapsulated,Susceptible
7011_4#10,Encapsulated,Susceptible
7092_6#22,Encapsulated,Non-susceptible
7004_5#19,Encapsulated,Susceptible
6631_3#1,Encapsulated,Susceptible
6673_8#2,Unencapsulated,Susceptible
6925_3#16,Encapsulated,Susceptible
7038_6#17,Encapsulated,Susceptible
7054_6#7,Encapsulated,Non-susceptible
6730_1#24,Unencapsulated,Non-susceptible
7004_6#46,Encapsulated,Susceptible
6938_7#6,Unencapsulated,Susceptible
6841_7#20,Unencapsulated,Non-susceptible
6730_3#16,Encapsulated,Non-susceptible
6899_4#6,Encapsulated,Susceptible
6840_3#23,Encapsulated,Susceptible
6680_4#23,Encapsulated,Non-susceptible
6775_2#2,Encapsulated,Susceptible
6730_7#21,Encapsulated,Non-susceptible
6841_7#17,Encapsulated,Susceptible
6925_4#3,Encapsulated,Susceptible
7054_4#17,Encapsulated,Non-susceptible
6680_8#11,Encapsulated,Non-susceptible
6680_6#17,Encapsulated,Non-susceptible
6823_3#12,Encapsulated,Non-susceptible
7004_5#21,Encapsulated,Non-susceptible
6871_2#21,Encapsulated,Susceptible
6805_7#9,Encapsulated,Susceptible
6736_6#5,Encapsulated,Susceptible
6830_3#6,Encapsulated,Non-susceptible
6673_8#7,Encapsulated,Susceptible
6823_4#22,Encapsulated,Non-susceptible
6730_4#4,Encapsulated,Non-susceptible
6631_2#1,Encapsulated,Susceptible
6805_2#14,Encapsulated,Susceptible
7038_5#4,Encapsulated,Susceptible
6736_5#2,Encapsulated,Non-susceptible
6730_4#15,Unencapsulated,Non-susceptible
6938_8#17,Encapsulated,Non-susceptible
6753_2#8,Encapsulated,Non-susceptible
6899_6#15,Encapsulated,Non-susceptible
6259_5#4,Encapsulated,Susceptible
6664_1#9,Encapsulated,Susceptible
7011_5#11,Encapsulated,Susceptible
6680_4#11,Unencapsulated,Non-susceptible
6938_6#13,Encapsulated,Susceptible
6259_6#23,Encapsulated,Susceptible
6925_7#11,Encapsulated,Non-susceptible
6983_3#71,Unencapsulated,Susceptible
6631_1#1,Encapsulated,Susceptible
6983_5#17,Encapsulated,Non-susceptible
6899_5#15,Encapsulated,Non-susceptible
6664_1#21,Unencapsulated,Non-susceptible
6710_7#19,Encapsulated,Non-susceptible
6983_2#19,Unencapsulated,Susceptible
6823_5#16,Encapsulated,Susceptible
6259_7#19,Unencapsulated,Susceptible
7038_7#10,Encapsulated,Susceptible
6631_1#11,Encapsulated,Non-susceptible
6823_5#13,Encapsulated,Susceptible
6259_7#18,Unencapsulated,Non-susceptible
6807_2#21,Unencapsulated,Susceptible
6680_6#3,Encapsulated,Non-susceptible
7011_4#18,Encapsulated,Susceptible
6972_3#15,Encapsulated,Susceptible
6949_3#10,Encapsulated,Susceptible
6983_2#24,Encapsulated,Susceptible
6983_5#15,Encapsulated,Non-susceptible
6680_5#12,Unencapsulated,Non-susceptible
6731_5#5,Encapsulated,Susceptible
6805_4#14,Encapsulated,Non-susceptible
7068_4#19,Encapsulated,Non-susceptible
6736_5#16,Encapsulated,Susceptible
6730_6#15,Unencapsulated,Non-susceptible
6899_6#1,Encapsulated,Susceptible
6593_5#17,Encapsulated,Non-susceptible
6731_3#9,Unencapsulated,Susceptible
7004_8#92,Encapsulated,Non-susceptible
6731_2#6,Encapsulated,Susceptible
6949_3#5,Encapsulated,Non-susceptible
7011_5#20,Encapsulated,Non-susceptible
6730_8#13,Encapsulated,Non-susceptible
6631_1#4,Encapsulated,Susceptible
6899_4#5,Encapsulated,Susceptible
7011_3#3,Unencapsulated,Non-susceptible
6710_6#1,Encapsulated,Non-susceptible
6714_8#23,Unencapsulated,Non-susceptible
6807_2#2,Unencapsulated,Susceptible
6949_1#11,Encapsulated,Susceptible
6938_5#11,Encapsulated,Susceptible
7038_4#3,Unencapsulated,Susceptible
7011_4#4,Encapsulated,Susceptible
7038_4#15,Unencapsulated,Susceptible
6259_8#14,Encapsulated,Susceptible
7038_5#16,Encapsulated,Susceptible
6972_2#9,Encapsulated,Susceptible
6755_2#3,Encapsulated,Susceptible
6753_1#12,Encapsulated,Susceptible
6938_6#12,Encapsulated,Non-susceptible
6983_2#21,Encapsulated,Non-susceptible
6925_3#4,Encapsulated,Non-susceptible
6755_5#16,Unencapsulated,Non-susceptible
6680_6#14,Encapsulated,Susceptible
7038_5#17,Encapsulated,Susceptible
7004_7#51,Encapsulated,Non-susceptible
7038_8#33,Encapsulated,Susceptible
6925_8#11,Unencapsulated,Non-susceptible
6630_4#9,Encapsulated,Susceptible
6807_1#17,Encapsulated,Susceptible
6753_1#7,Encapsulated,Susceptible
6805_6#12,Encapsulated,Susceptible
6925_4#21,Encapsulated,Susceptible
6972_3#16,Encapsulated,Non-susceptible
6899_4#18,Encapsulated,Susceptible
7038_8#47,Encapsulated,Susceptible
6730_1#22,Encapsulated,Susceptible
6755_5#20,Encapsulated,Susceptible
6680_7#23,Encapsulated,Susceptible
6805_7#19,Encapsulated,Susceptible
6630_1#23,Encapsulated,Susceptible
6949_4#6,Encapsulated,Susceptible
6630_3#16,Encapsulated,Susceptible
6925_8#21,Encapsulated,Susceptible
6631_1#12,Encapsulated,Non-susceptible
6972_5#23,Unencapsulated,Non-susceptible
7004_7#72,Encapsulated,Susceptible
6731_1#18,Encapsulated,Susceptible
6938_7#12,Encapsulated,Susceptible
7011_4#11,Encapsulated,Susceptible
6805_5#10,Encapsulated,Susceptible
6753_1#4,Encapsulated,Susceptible
6631_1#16,Unencapsulated,Non-susceptible
6983_7#65,Encapsulated,Susceptible
6938_8#18,Encapsulated,Susceptible
6593_5#18,Encapsulated,Non-susceptible
6259_6#3,Encapsulated,Susceptible
6630_4#10,Encapsulated,Susceptible
6949_1#7,Encapsulated,Susceptible
6736_7#5,Encapsulated,Non-susceptible
6830_3#18,Encapsulated,Susceptible
6972_5#3,Encapsulated,Susceptible
6630_1#8,Encapsulated,Susceptible
7004_7#50,Encapsulated,Non-susceptible
7011_6#11,Encapsulated,Non-susceptible
6753_3#17,Encapsulated,Susceptible
6871_1#8,Encapsulated,Non-susceptible
6736_8#19,Encapsulated,Susceptible
6823_6#8,Encapsulated,Susceptible
6823_4#10,Unencapsulated,Non-susceptible
6259_7#1,Unencapsulated,Non-susceptible
6755_4#7,Unencapsulated,Non-susceptible
6755_2#6,Encapsulated,Susceptible
6983_5#24,Encapsulated,Susceptible
6631_1#2,Unencapsulated,Non-susceptible
6805_6#11,Encapsulated,Non-susceptible
6775_2#17,Encapsulated,Non-susceptible
6823_7#5,Unencapsulated,Non-susceptible
7011_5#7,Unencapsulated,Susceptible
6871_1#5,Encapsulated,Susceptible
6630_1#2,Unencapsulated,Non-susceptible
6823_1#17,Encapsulated,Non-susceptible
6710_8#6,Encapsulated,Susceptible
6730_3#13,Encapsulated,Susceptible
6949_2#10,Encapsulated,Non-susceptible
6680_7#24,Encapsulated,Non-susceptible
6841_7#3,Encapsulated,Susceptible
6730_1#1,Unencapsulated,Non-susceptible
6807_3#4,Encapsulated,Non-susceptible
6983_6#27,Encapsulated,Susceptible
6680_5#15,Encapsulated,Non-susceptible
6593_5#3,Encapsulated,Susceptible
6593_4#13,Encapsulated,Susceptible
6731_1#6,Encapsulated,Susceptible
7011_6#21,Encapsulated,Susceptible
6710_6#7,Encapsulated,Susceptible
6736_6#12,Encapsulated,Susceptible
7092_6#4,Encapsulated,Susceptible
6823_4#12,Encapsulated,Non-susceptible
6805_3#5,Encapsulated,Non-susceptible
6680_8#20,Encapsulated,Susceptible
6983_3#50,Encapsulated,Susceptible
6714_8#3,Unencapsulated,Non-susceptible
6972_3#12,Encapsulated,Susceptible
6823_3#8,Encapsulated,Susceptible
6259_5#13,Encapsulated,Non-susceptible
6259_6#18,Encapsulated,Non-susceptible
7054_6#20,Encapsulated,Susceptible
6673_8#9,Encapsulated,Susceptible
6805_4#7,Encapsulated,Susceptible
6730_3#18,Encapsulated,Non-susceptible
6680_5#19,Encapsulated,Non-susceptible
6805_2#5,Encapsulated,Susceptible
6680_8#5,Encapsulated,Susceptible
6631_1#22,Unencapsulated,Non-susceptible
6731_1#14,Encapsulated,Non-susceptible
6823_5#24,Encapsulated,Non-susceptible
6649_7#9,Encapsulated,Non-susceptible
6731_4#3,Encapsulated,Susceptible
7038_4#20,Encapsulated,Non-susceptible
6730_8#12,Encapsulated,Non-susceptible
7004_7#58,Encapsulated,Non-susceptible
6631_7#6,Unencapsulated,Susceptible
7004_5#11,Encapsulated,Non-susceptible
6983_6#47,Encapsulated,Non-susceptible
7011_4#2,Unencapsulated,Non-susceptible
7054_5#4,Encapsulated,Susceptible
6925_5#2,Unencapsulated,Non-susceptible
6259_8#22,Encapsulated,Non-susceptible
6805_7#4,Encapsulated,Susceptible
6925_3#1,Unencapsulated,Non-susceptible
6938_8#7,Encapsulated,Susceptible
6805_3#21,Encapsulated,Susceptible
6983_5#2,Encapsulated,Non-susceptible
6840_1#9,Encapsulated,Susceptible
6730_3#11,Encapsulated,Non-susceptible
6805_6#6,Encapsulated,Non-susceptible
6823_4#9,Encapsulated,Susceptible
6805_4#5,Encapsulated,Non-susceptible
7068_4#6,Encapsulated,Non-susceptible
6673_8#12,Encapsulated,Susceptible
6840_1#16,Encapsulated,Non-susceptible
6736_4#2,Encapsulated,Susceptible
6805_5#11,Encapsulated,Non-susceptible
6899_5#9,Encapsulated,Susceptible
6871_1#23,Encapsulated,Susceptible
6680_7#5,Encapsulated,Susceptible
6899_4#1,Encapsulated,Non-susceptible
7054_4#20,Encapsulated,Susceptible
6631_6#8,Encapsulated,Susceptible
6938_7#22,Encapsulated,Non-susceptible
6805_2#10,Encapsulated,Non-susceptible
6730_3#21,Encapsulated,Non-susceptible
6649_7#16,Encapsulated,Susceptible
6841_7#24,Encapsulated,Non-susceptible
6972_2#17,Encapsulated,Non-susceptible
7054_5#18,Encapsulated,Non-susceptible
6259_8#1,Encapsulated,Susceptible
6755_3#3,Encapsulated,Non-susceptible
6972_5#14,Unencapsulated,Non-susceptible
6983_4#76,Encapsulated,Non-susceptible
7004_7#62,Encapsulated,Susceptible
6983_3#51,Encapsulated,Susceptible
6731_1#12,Unencapsulated,Non-susceptible
6680_7#3,Encapsulated,Non-susceptible
6730_8#6,Encapsulated,Susceptible
6925_8#22,Encapsulated,Non-susceptible
6755_5#18,Encapsulated,Susceptible
6755_6#1,Unencapsulated,Non-susceptible
6730_4#20,Encapsulated,Susceptible
6631_4#17,Encapsulated,Non-susceptible
6823_6#21,Encapsulated,Susceptible
6731_4#13,Encapsulated,Susceptible
6755_3#2,Encapsulated,Non-susceptible
6714_7#24,Encapsulated,Susceptible
6736_6#18,Encapsulated,Susceptible
6753_3#8,Encapsulated,Susceptible
6983_6#43,Encapsulated,Susceptible
7011_4#1,Encapsulated,Non-susceptible
6755_3#11,Encapsulated,Non-susceptible
6983_3#55,Encapsulated,Susceptible
7004_6#41,Encapsulated,Susceptible
6631_6#7,Unencapsulated,Non-susceptible
6983_3#52,Encapsulated,Susceptible
6949_4#10,Encapsulated,Susceptible
7004_8#75,Encapsulated,Susceptible
7004_7#65,Encapsulated,Susceptible
7004_7#69,Encapsulated,Non-susceptible
7038_5#3,Encapsulated,Non-susceptible
6755_4#22,Encapsulated,Non-susceptible
6755_1#6,Encapsulated,Susceptible
6871_1#1,Encapsulated,Non-susceptible
6593_5#21,Encapsulated,Susceptible
6938_3#21,Encapsulated,Non-susceptible
6823_2#24,Encapsulated,Susceptible
6680_5#20,Encapsulated,Susceptible
6983_8#77,Encapsulated,Non-susceptible
6755_3#1,Encapsulated,Susceptible
7038_8#44,Encapsulated,Susceptible
