Isolate,Encapsulation,Resistance
6259_5#18,Encapsulated,Susceptible
6753_4#17,Encapsulated,Susceptible
6805_7#6,Encapsulated,Susceptible
6259_5#2,Unencapsulated,Non-susceptible
6755_6#11,Encapsulated,Susceptible
7004_6#45,Encapsulated,Susceptible
6972_5#10,Encapsulated,Susceptible
6805_5#17,Encapsulated,Susceptible
6823_3#24,Encapsulated,Susceptible
6805_6#9,Unencapsulated,Non-susceptible
6730_7#15,Encapsulated,Non-susceptible
6807_1#13,Encapsulated,Non-susceptible
6805_6#23,Encapsulated,Non-susceptible
6730_1#14,Encapsulated,Non-susceptible
6949_4#16,Unencapsulated,Non-susceptible
6807_3#21,Encapsulated,Non-susceptible
6593_4#8,Unencapsulated,Susceptible
6730_1#6,Encapsulated,Non-susceptible
7011_5#16,Encapsulated,Susceptible
6972_2#14,Encapsulated,Non-susceptible
6731_2#17,Encapsulated,Non-susceptible
6805_3#15,Encapsulated,Susceptible
6899_5#23,Encapsulated,Non-susceptible
6972_3#7,Encapsulated,Susceptible
6730_6#8,Encapsulated,Non-susceptible
6899_5#4,Encapsulated,Non-susceptible
6680_8#12,Unencapsulated,Susceptible
7038_8#31,Unencapsulated,Non-susceptible
6259_8#17,Unencapsulated,Susceptible
7038_4#24,Encapsulated,Susceptible
6593_4#10,Encapsulated,Susceptible
7004_6#34,Encapsulated,Susceptible
6730_5#17,Encapsulated,Non-susceptible
6972_3#22,Encapsulated,Susceptible
6805_5#21,Encapsulated,Susceptible
6823_1#3,Encapsulated,Susceptible
6731_3#24,Encapsulated,Non-susceptible
7054_4#18,Encapsulated,Non-susceptible
6840_3#19,Unencapsulated,Non-susceptible
6753_4#15,Encapsulated,Susceptible
6753_2#3,Encapsulated,Susceptible
6823_5#18,Encapsulated,Susceptible
6680_4#2,Unencapsulated,Non-susceptible
6899_6#6,Encapsulated,Susceptible
6736_4#17,Encapsulated,Susceptible
6840_3#13,Unencapsulated,Non-susceptible
6710_6#18,Encapsulated,Non-susceptible
6736_7#20,Encapsulated,Susceptible
6899_4#15,Encapsulated,Susceptible
6631_3#7,Encapsulated,Susceptible
6938_5#23,Encapsulated,Susceptible
6925_3#5,Encapsulated,Susceptible
6983_4#83,Encapsulated,Non-susceptible
6983_3#54,Encapsulated,Susceptible
6823_2#13,Encapsulated,Susceptible
6841_7#21,Encapsulated,Non-susceptible
6775_1#15,Encapsulated,Non-susceptible
6753_2#15,Encapsulated,Susceptible
6730_5#16,Encapsulated,Susceptible
6840_3#24,Encapsulated,Non-susceptible
6972_3#17,Unencapsulated,Non-susceptible
6925_6#18,Encapsulated,Non-susceptible
6680_6#10,Unencapsulated,Non-susceptible
6630_2#19,Encapsulated,Susceptible
6938_3#35,Encapsulated,Susceptible
6631_1#9,Encapsulated,Non-susceptible
6805_5#3,Encapsulated,Susceptible
6805_6#21,Unencapsulated,Susceptible
6807_3#10,Encapsulated,Susceptible
7038_4#13,Unencapsulated,Susceptible
7038_8#42,Encapsulated,Non-susceptible
6841_7#18,Encapsulated,Non-susceptible
6680_6#12,Encapsulated,Susceptible
6823_2#2,Encapsulated,Non-susceptible
6714_7#19,Unencapsulated,Non-susceptible
6731_1#20,Encapsulated,Susceptible
6259_8#13,Unencapsulated,Non-susceptible
6775_1#4,Unencapsulated,Non-susceptible
6755_1#4,Unencapsulated,Non-susceptible
6871_1#6,Encapsulated,Susceptible
6775_1#16,Encapsulated,Susceptible
6983_4#87,Encapsulated,Susceptible
7004_5#9,Encapsulated,Non-susceptible
6649_8#7,Unencapsulated,Non-susceptible
6710_7#9,Unencapsulated,Susceptible
6731_3#6,Encapsulated,Non-susceptible
6680_5#5,Encapsulated,Susceptible
7038_4#2,Encapsulated,Non-susceptible
6631_5#6,Encapsulated,Susceptible
6753_4#7,Encapsulated,Non-susceptible
6730_3#14,Encapsulated,Susceptible
7054_6#12,Encapsulated,Non-susceptible
6710_6#10,Encapsulated,Susceptible
6899_5#5,Encapsulated,Susceptible
6714_8#11,Encapsulated,Susceptible
6983_3#72,Encapsulated,Susceptible
6753_4#13,Encapsulated,Susceptible
6736_5#24,Encapsulated,Susceptible
6805_2#7,Encapsulated,Non-susceptible
6925_7#23,Encapsulated,Non-susceptible
6972_5#22,Encapsulated,Non-susceptible
6983_5#11,Encapsulated,Non-susceptible
6925_8#14,Encapsulated,Susceptible
6731_6#2,Encapsulated,Non-susceptible
6631_2#9,Unencapsulated,Non-susceptible
6972_5#13,Encapsulated,Susceptible
6823_3#23,Unencapsulated,Non-susceptible
6753_1#6,Encapsulated,Susceptible
6630_2#23,Encapsulated,Susceptible
6972_3#20,Encapsulated,Susceptible
6731_6#13,Encapsulated,Non-susceptible
6631_3#19,Encapsulated,Susceptible
6871_1#13,Encapsulated,Non-susceptible
6736_4#1,Encapsulated,Non-susceptible
6949_3#2,Encapsulated,Susceptible
6753_4#21,Encapsulated,Non-susceptible
7004_7#49,Unencapsulated,Susceptible
6755_3#18,Encapsulated,Susceptible
6805_2#12,Encapsulated,Non-susceptible
6805_7#17,Encapsulated,Susceptible
7011_3#2,Encapsulated,Non-susceptible
6823_4#2,Encapsulated,Non-susceptible
6925_8#10,Encapsulated,Non-susceptible
6730_1#9,Unencapsulated,Non-susceptible
6731_5#22,Encapsulated,Non-susceptible
6925_5#4,Encapsulated,Non-susceptible
6899_4#20,Unencapsulated,Non-susceptible
6730_1#23,Encapsulated,Non-susceptible
6949_4#17,Encapsulated,Susceptible
6840_3#1,Encapsulated,Non-susceptible
6730_4#24,Encapsulated,Non-susceptible
6710_6#4,Encapsulated,Non-susceptible
6830_3#10,Encapsulated,Susceptible
6805_3#19,Encapsulated,Non-susceptible
6755_5#11,Encapsulated,Susceptible
6805_6#4,Unencapsulated,Non-susceptible
6972_4#8,Encapsulated,Susceptible
6259_6#19,Encapsulated,Susceptible
6805_4#21,Encapsulated,Susceptible
6807_1#14,Unencapsulated,Non-susceptible
6938_8#6,Unencapsulated,Non-susceptible
6649_8#6,Encapsulated,Susceptible
6631_5#9,Encapsulated,Susceptible
6755_6#21,Encapsulated,Non-susceptible
6840_1#4,Encapsulated,Susceptible
6630_1#3,Encapsulated,Susceptible
6630_3#9,Encapsulated,Non-susceptible
6983_6#31,Encapsulated,Susceptible
6807_2#5,Encapsulated,Susceptible
6949_2#17,Encapsulated,Non-susceptible
7004_6#36,Encapsulated,Susceptible
7038_6#10,Encapsulated,Susceptible
6805_5#16,Encapsulated,Non-susceptible
6823_6#16,Encapsulated,Susceptible
6871_2#6,Encapsulated,Non-susceptible
6714_7#23,Encapsulated,Susceptible
6823_7#10,Encapsulated,Non-susceptible
6972_5#8,Encapsulated,Non-susceptible
6731_2#1,Encapsulated,Susceptible
6680_5#4,Unencapsulated,Non-susceptible
7004_5#13,Encapsulated,Non-susceptible
6899_5#6,Encapsulated,Susceptible
6631_6#15,Encapsulated,Non-susceptible
6649_8#10,Encapsulated,Susceptible
6938_5#14,Encapsulated,Susceptible
6753_1#16,Encapsulated,Susceptible
6949_2#1,Encapsulated,Susceptible
6649_8#5,Encapsulated,Susceptible
6731_6#19,Encapsulated,Non-susceptible
6736_8#21,Encapsulated,Non-susceptible
6630_3#14,Encapsulated,Susceptible
6259_5#16,Unencapsulated,Non-susceptible
6714_7#1,Encapsulated,Non-susceptible
7004_7#70,Encapsulated,Susceptible
6755_4#18,Unencapsulated,Non-susceptible
6840_1#22,Encapsulated,Non-susceptible
6805_4#16,Encapsulated,Susceptible
6823_2#16,Encapsulated,Susceptible
7004_8#84,Encapsulated,Susceptible
7004_5#18,Encapsulated,Non-susceptible
6871_1#12,Encapsulated,Susceptible
6805_5#1,Encapsulated,Susceptible
6938_8#12,Encapsulated,Susceptible
7004_6#37,Encapsulated,Non-susceptible
6925_7#5,Encapsulated,Non-susceptible
7054_4#23,Encapsulated,Non-susceptible
6925_4#17,Unencapsulated,Non-susceptible
6680_8#19,Encapsulated,Susceptible
6649_8#19,Encapsulated,Non-susceptible
6805_4#10,Encapsulated,Non-susceptible
6649_8#22,Encapsulated,Susceptible
7054_4#15,Encapsulated,Non-susceptible
6755_1#5,Encapsulated,Susceptible
6972_2#6,Encapsulated,Non-susceptible
6630_2#12,Encapsulated,Non-susceptible
6840_1#10,Encapsulated,Non-susceptible
6983_3#67,Encapsulated,Susceptible
6840_3#11,Encapsulated,Susceptible
6731_3#18,Encapsulated,Susceptible
6949_2#14,Encapsulated,Susceptible
6680_6#22,Encapsulated,Non-susceptible
6807_1#16,Encapsulated,Susceptible
6899_6#10,Encapsulated,Susceptible
7011_6#1,Encapsulated,Non-susceptible
7011_5#8,Encapsulated,Susceptible
6823_2#5,Encapsulated,Non-susceptible
6680_8#16,Encapsulated,Susceptible
7092_6#23,Encapsulated,Non-susceptible
6710_7#7,Encapsulated,Susceptible
6736_5#1,Encapsulated,Non-susceptible
6736_8#9,Encapsulated,Non-susceptible
6899_5#21,Unencapsulated,Non-susceptible
6755_2#21,Encapsulated,Susceptible
6680_7#2,Unencapsulated,Non-susceptible
6983_6#41,Encapsulated,Susceptible
6925_4#19,Encapsulated,Non-susceptible
6805_5#19,Encapsulated,Non-susceptible
7004_5#17,Encapsulated,Susceptible
6899_4#21,Encapsulated,Non-susceptible
6983_5#19,Encapsulated,Susceptible
6938_6#1,Encapsulated,Susceptible
6730_7#20,Encapsulated,Susceptible
7004_6#48,Unencapsulated,Susceptible
6823_3#1,Encapsulated,Susceptible
6805_4#6,Encapsulated,Non-susceptible
6925_4#7,Encapsulated,Non-susceptible
6731_1#11,Unencapsulated,Non-susceptible
6680_5#23,Encapsulated,Non-susceptible
6983_6#39,Encapsulated,Non-susceptible
6710_6#2,Encapsulated,Susceptible
7011_4#21,Encapsulated,Susceptible
6823_6#3,Encapsulated,Susceptible
6730_4#17,Encapsulated,Non-susceptible
7011_4#19,Encapsulated,Non-susceptible
6938_5#9,Encapsulated,Susceptible
6925_5#22,Encapsulated,Susceptible
6983_5#12,Unencapsulated,Non-susceptible
6259_8#5,Encapsulated,Non-susceptible
6731_3#8,Encapsulated,Susceptible
6710_7#17,Encapsulated,Susceptible
6805_2#19,Encapsulated,Susceptible
6983_8#94,Encapsulated,Susceptible
6631_4#19,Unencapsulated,Non-susceptible
6753_1#2,Encapsulated,Non-susceptible
6938_3#36,Encapsulated,Non-susceptible
6983_7#70,Encapsulated,Susceptible
6630_2#8,Encapsulated,Susceptible
6972_5#5,Encapsulated,Susceptible
7038_5#5,Encapsulated,Non-susceptible
6949_1#15,Encapsulated,Susceptible
6631_6#14,Encapsulated,Non-susceptible
6823_1#24,Encapsulated,Non-susceptible
7004_7#61,Encapsulated,Susceptible
6753_2#10,Encapsulated,Susceptible
6938_7#8,Unencapsulated,Non-susceptible
6823_6#20,Encapsulated,Susceptible
7038_4#1,Encapsulated,Susceptible
6775_2#8,Unencapsulated,Non-susceptible
6949_3#20,Encapsulated,Non-susceptible
6649_7#19,Encapsulated,Non-susceptible
6755_1#23,Encapsulated,Susceptible
6983_7#60,Encapsulated,Non-susceptible
6631_2#20,Encapsulated,Susceptible
6925_5#5,Encapsulated,Susceptible
6753_1#18,Encapsulated,Susceptible
6641_6#4,Unencapsulated,Non-susceptible
6775_2#12,Encapsulated,Non-susceptible
6631_7#10,Unencapsulated,Non-susceptible
7011_3#15,Encapsulated,Susceptible
6983_8#96,Encapsulated,Susceptible
6730_3#10,Encapsulated,Non-susceptible
6730_3#4,Encapsulated,Non-susceptible
6631_3#18,Unencapsulated,Non-susceptible
7038_5#2,Encapsulated,Non-susceptible
6755_1#15,Encapsulated,Susceptible
7054_5#6,Encapsulated,Non-susceptible
6755_5#10,Encapsulated,Non-susceptible
6755_1#17,Encapsulated,Non-susceptible
6630_3#22,Encapsulated,Non-susceptible
6755_6#10,Encapsulated,Non-susceptible
6983_5#8,Encapsulated,Susceptible
7038_8#48,Encapsulated,Non-susceptible
6823_6#22,Encapsulated,Susceptible
6983_4#95,Unencapsulated,Non-susceptible
6925_4#1,Encapsulated,Susceptible
6753_3#10,Unencapsulated,Non-susceptible
6949_3#15,Encapsulated,Susceptible
6938_6#4,Encapsulated,Non-susceptible
6755_5#14,Unencapsulated,Non-susceptible
7038_8#39,Encapsulated,Non-susceptible
6925_3#19,Encapsulated,Susceptible
7004_5#3,Encapsulated,Susceptible
7038_4#14,Encapsulated,Susceptible
